epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,8.52705,2.93759,9.57829,1.34832,0.00551,0.81749,0.20097,0.05933,2.20602,3.03109,1.10798,0.000658915,0.000658915,0.000658915
2,16.7235,2.34593,3.25315,1.08462,0.56834,0.5874,0.55489,0.1871,2.21064,1.61209,1.08152,0.00131902,0.00131902,0.00131902
3,24.781,2.27224,2.36247,1.05965,0.73721,0.66132,0.70696,0.2735,2.10593,1.37403,1.08866,0.00197252,0.00197252,0.00197252
4,32.7554,2.22667,1.81416,1.05204,0.75114,0.59189,0.64055,0.23926,2.20591,1.76003,1.10785,0.0019703,0.0019703,0.0019703
5,40.7253,2.1887,1.51062,1.04321,0.77104,0.67439,0.74177,0.28412,1.97309,1.22421,1.04018,0.0019604,0.0019604,0.0019604
6,48.657,2.16105,1.42464,1.04101,0.74953,0.65994,0.73247,0.29568,1.99689,1.13449,1.05064,0.0019505,0.0019505,0.0019505
7,56.6333,2.10332,1.33679,1.0223,0.71494,0.67807,0.7424,0.28722,2.04114,1.14123,1.03633,0.0019406,0.0019406,0.0019406
8,64.4548,2.12869,1.31205,1.03618,0.79007,0.71103,0.76322,0.30543,1.96335,1.10103,1.04009,0.0019307,0.0019307,0.0019307
9,72.4388,2.09695,1.26886,1.01731,0.76338,0.73193,0.76801,0.31244,1.89558,1.11686,1.02662,0.0019208,0.0019208,0.0019208
10,80.5273,2.0313,1.24237,1.00246,0.84326,0.69202,0.79155,0.34911,1.90381,1.02245,1.02548,0.0019109,0.0019109,0.0019109
11,88.4766,2.02612,1.18666,1.00135,0.81248,0.72486,0.81039,0.33451,1.85376,1.04203,1.01266,0.001901,0.001901,0.001901
12,96.2707,2.04681,1.2073,1.00217,0.74959,0.6905,0.76295,0.2946,1.98649,1.07896,1.03127,0.0018911,0.0018911,0.0018911
13,104.098,2.01302,1.19315,0.9933,0.78588,0.70469,0.75313,0.31864,1.90562,1.06738,1.04858,0.0018812,0.0018812,0.0018812
14,111.942,2.04423,1.17922,1.00243,0.82132,0.71736,0.78568,0.33853,1.85963,1.00783,1.01689,0.0018713,0.0018713,0.0018713
15,119.886,1.95355,1.13562,0.99842,0.81251,0.725,0.79143,0.3437,1.84401,0.98331,1.01919,0.0018614,0.0018614,0.0018614
16,127.688,1.97537,1.15325,0.98841,0.81281,0.71483,0.7793,0.33106,1.86398,0.99775,1.02041,0.0018515,0.0018515,0.0018515
17,135.502,2.00891,1.1654,1.00179,0.78603,0.7403,0.78665,0.31851,1.88461,1.06788,1.02196,0.0018416,0.0018416,0.0018416
18,143.303,1.97836,1.14225,0.98951,0.80955,0.76172,0.82455,0.35371,1.84485,0.99133,1.01299,0.0018317,0.0018317,0.0018317
19,151.257,1.99952,1.15344,0.98993,0.82912,0.74778,0.82242,0.34151,1.91404,0.99071,1.00833,0.0018218,0.0018218,0.0018218
20,159.193,1.95643,1.1028,0.98707,0.82537,0.73083,0.79058,0.34507,1.81427,1.00014,1.00794,0.0018119,0.0018119,0.0018119
21,166.98,1.95941,1.10248,0.9854,0.78709,0.74398,0.80007,0.33216,1.84878,1.01726,1.01132,0.001802,0.001802,0.001802
22,174.78,1.93253,1.08356,0.9865,0.78473,0.7275,0.79494,0.32538,1.86797,1.03799,1.00636,0.0017921,0.0017921,0.0017921
23,182.575,1.9669,1.10681,0.99642,0.8316,0.75412,0.8134,0.36272,1.80309,1.05656,1.00526,0.0017822,0.0017822,0.0017822
24,190.522,1.91893,1.06167,0.97883,0.84221,0.75766,0.82352,0.35005,1.80284,0.95359,1.00651,0.0017723,0.0017723,0.0017723
25,198.433,1.94008,1.05046,0.99015,0.84983,0.74018,0.81982,0.3523,1.85846,1.01044,1.02291,0.0017624,0.0017624,0.0017624
26,206.242,1.94134,1.08922,0.97963,0.84461,0.7275,0.81863,0.35537,1.83613,0.98237,1.00571,0.0017525,0.0017525,0.0017525
27,214.039,1.92733,1.04652,0.97724,0.87369,0.78901,0.86227,0.39095,1.77834,0.89325,1.00252,0.0017426,0.0017426,0.0017426
28,222.021,1.94535,1.05724,0.98298,0.84022,0.76172,0.82615,0.37551,1.77802,0.94714,1.00352,0.0017327,0.0017327,0.0017327
29,229.844,1.89631,1.0489,0.9716,0.8147,0.7858,0.82692,0.36888,1.78052,0.95585,1.00231,0.0017228,0.0017228,0.0017228
30,237.757,1.92334,1.072,0.9813,0.84825,0.75919,0.82414,0.34621,1.85027,1.05527,1.0113,0.0017129,0.0017129,0.0017129
31,245.576,1.90529,1.05132,0.97846,0.87046,0.76679,0.8512,0.37403,1.81396,0.95485,0.99609,0.001703,0.001703,0.001703
32,253.423,1.90565,1.05022,0.97608,0.83814,0.75665,0.83404,0.37619,1.75476,0.90735,0.99553,0.0016931,0.0016931,0.0016931
33,261.207,1.88906,1.04167,0.96317,0.8756,0.76717,0.85311,0.38167,1.77037,0.9118,1.00168,0.0016832,0.0016832,0.0016832
34,269.03,1.89622,1.03147,0.97838,0.88857,0.7858,0.8697,0.39667,1.79615,0.92329,1.00185,0.0016733,0.0016733,0.0016733
35,277.115,1.88131,1.01904,0.96709,0.83463,0.77947,0.827,0.36514,1.77028,0.94921,0.99161,0.0016634,0.0016634,0.0016634
36,284.931,1.86713,1.00705,0.9573,0.82416,0.7744,0.82731,0.37949,1.74076,0.98603,0.99785,0.0016535,0.0016535,0.0016535
37,292.75,1.88359,1.01389,0.96697,0.86915,0.77451,0.85217,0.39312,1.75654,0.89466,1.00139,0.0016436,0.0016436,0.0016436
38,300.525,1.87267,0.9871,0.96582,0.82784,0.79975,0.85704,0.39351,1.73869,0.931,0.98478,0.0016337,0.0016337,0.0016337
39,308.408,1.87179,1.00526,0.97554,0.84225,0.77822,0.83899,0.37466,1.77871,0.90875,1.00139,0.0016238,0.0016238,0.0016238
40,316.218,1.89323,1.01023,0.97937,0.82414,0.80187,0.84516,0.3751,1.77544,0.92742,0.99486,0.0016139,0.0016139,0.0016139
41,324.031,1.85811,1.01575,0.96292,0.86331,0.8005,0.86248,0.37279,1.74219,0.90193,0.98684,0.001604,0.001604,0.001604
42,331.865,1.89658,1.01745,0.96079,0.86705,0.77567,0.85232,0.39976,1.72668,0.92912,0.98819,0.0015941,0.0015941,0.0015941
43,339.826,1.85679,1.00615,0.96821,0.86418,0.77947,0.86204,0.3949,1.76568,0.91149,0.98954,0.0015842,0.0015842,0.0015842
44,347.713,1.85822,1.00744,0.96286,0.88287,0.77567,0.87213,0.40243,1.73842,0.88375,0.98651,0.0015743,0.0015743,0.0015743
45,355.68,1.85368,0.98422,0.96059,0.83666,0.75665,0.83073,0.37507,1.75911,0.9283,0.98566,0.0015644,0.0015644,0.0015644
46,363.498,1.85927,0.99034,0.95701,0.8614,0.78707,0.8531,0.39566,1.73326,0.90874,0.98976,0.0015545,0.0015545,0.0015545
47,371.364,1.88371,0.99383,0.97115,0.86821,0.78454,0.84204,0.37648,1.7678,0.92954,1.00068,0.0015446,0.0015446,0.0015446
48,379.118,1.86285,0.97559,0.96505,0.87412,0.7833,0.85054,0.39454,1.74529,0.90111,0.99325,0.0015347,0.0015347,0.0015347
49,387.045,1.83017,0.9531,0.96016,0.85926,0.79341,0.86071,0.39965,1.73253,0.88525,0.99227,0.0015248,0.0015248,0.0015248
50,394.927,1.81781,0.94261,0.96016,0.86863,0.80862,0.86602,0.40468,1.72404,0.8805,0.9885,0.0015149,0.0015149,0.0015149
51,402.899,1.85303,0.96728,0.96683,0.85825,0.76426,0.85768,0.39276,1.75801,0.91917,0.99601,0.001505,0.001505,0.001505
52,410.722,1.85315,0.95447,0.95579,0.84298,0.79087,0.83358,0.39375,1.73083,0.87478,0.99854,0.0014951,0.0014951,0.0014951
53,418.573,1.82335,0.96574,0.94941,0.84858,0.78133,0.83434,0.38739,1.74892,0.86902,0.99388,0.0014852,0.0014852,0.0014852
54,426.479,1.82671,0.95989,0.95526,0.86963,0.77693,0.85511,0.3834,1.75239,0.88752,0.98621,0.0014753,0.0014753,0.0014753
55,434.281,1.80422,0.95844,0.95687,0.89851,0.76046,0.85815,0.39297,1.78501,0.88532,0.99385,0.0014654,0.0014654,0.0014654
56,442.105,1.83361,0.9446,0.96687,0.89317,0.76297,0.85554,0.39288,1.74632,0.87846,0.99135,0.0014555,0.0014555,0.0014555
57,449.878,1.82908,0.96134,0.9507,0.85555,0.79468,0.8637,0.36541,1.86588,0.91995,0.99933,0.0014456,0.0014456,0.0014456
58,457.749,1.84546,0.98116,0.95591,0.8621,0.79975,0.86289,0.40418,1.73951,0.89756,0.9952,0.0014357,0.0014357,0.0014357
59,465.701,1.81253,0.97896,0.94649,0.83857,0.79721,0.8564,0.39747,1.72606,0.9238,0.99262,0.0014258,0.0014258,0.0014258
60,473.517,1.82153,0.96167,0.9539,0.89112,0.77795,0.86177,0.40468,1.73548,0.88692,0.98674,0.0014159,0.0014159,0.0014159
61,481.348,1.77946,0.9423,0.95653,0.87747,0.7744,0.86488,0.39873,1.72614,0.88738,0.98755,0.001406,0.001406,0.001406
62,489.158,1.82932,0.97422,0.95868,0.8655,0.78327,0.85119,0.40002,1.76575,0.86707,0.99275,0.0013961,0.0013961,0.0013961
63,497.06,1.82075,0.94018,0.94244,0.85537,0.79468,0.85727,0.39754,1.73944,0.8817,0.9881,0.0013862,0.0013862,0.0013862
64,504.872,1.77998,0.92202,0.94924,0.86051,0.78707,0.84405,0.39655,1.74063,0.86837,0.9921,0.0013763,0.0013763,0.0013763
65,512.688,1.80542,0.94211,0.94908,0.88239,0.78925,0.86906,0.40189,1.73409,0.86812,0.99056,0.0013664,0.0013664,0.0013664
66,520.491,1.83471,0.94721,0.95496,0.86377,0.7744,0.8555,0.40185,1.71562,0.88769,0.98218,0.0013565,0.0013565,0.0013565
67,528.312,1.79928,0.9476,0.9461,0.86882,0.78069,0.86357,0.39026,1.73729,0.89728,0.99064,0.0013466,0.0013466,0.0013466
68,536.241,1.79707,0.93494,0.94887,0.8562,0.79989,0.8611,0.40348,1.70347,0.87293,0.99227,0.0013367,0.0013367,0.0013367
69,544.062,1.79738,0.954,0.94048,0.8625,0.77186,0.85305,0.40414,1.71738,0.86583,0.98131,0.0013268,0.0013268,0.0013268
70,551.881,1.79241,0.92903,0.95001,0.87153,0.77386,0.85582,0.39701,1.76137,0.87773,0.98491,0.0013169,0.0013169,0.0013169
71,559.721,1.77338,0.91253,0.9475,0.86986,0.78707,0.86814,0.40728,1.70807,0.87368,0.98383,0.001307,0.001307,0.001307
72,567.666,1.80429,0.91541,0.95301,0.84402,0.80241,0.85343,0.4061,1.70003,0.87401,0.97882,0.0012971,0.0012971,0.0012971
73,575.609,1.77209,0.91702,0.93978,0.87959,0.77769,0.8677,0.41128,1.70142,0.8486,0.97779,0.0012872,0.0012872,0.0012872
74,583.677,1.79208,0.90908,0.94469,0.87673,0.79848,0.87278,0.41176,1.70969,0.84135,0.98129,0.0012773,0.0012773,0.0012773
75,591.605,1.76894,0.90755,0.94128,0.85126,0.80355,0.86496,0.40104,1.72126,0.86723,0.97951,0.0012674,0.0012674,0.0012674
76,599.428,1.78409,0.9112,0.94507,0.86012,0.80862,0.87179,0.4174,1.68571,0.84995,0.97574,0.0012575,0.0012575,0.0012575
77,607.369,1.78669,0.91552,0.95287,0.87618,0.78922,0.86229,0.41653,1.69552,0.85215,0.97431,0.0012476,0.0012476,0.0012476
78,615.268,1.78738,0.91333,0.94473,0.8709,0.76806,0.83474,0.39913,1.68328,0.87292,0.98051,0.0012377,0.0012377,0.0012377
79,623.081,1.78256,0.92167,0.93916,0.88871,0.80862,0.8642,0.39932,1.75665,0.85371,0.98666,0.0012278,0.0012278,0.0012278
80,630.884,1.78466,0.92472,0.94565,0.88735,0.78961,0.87113,0.40913,1.69448,0.88286,0.97996,0.0012179,0.0012179,0.0012179
81,638.691,1.74905,0.89577,0.93886,0.8949,0.79975,0.87098,0.42468,1.67695,0.83224,0.97792,0.001208,0.001208,0.001208
82,646.756,1.77807,0.90949,0.94644,0.86652,0.79809,0.85404,0.40139,1.73613,0.86822,0.99374,0.0011981,0.0011981,0.0011981
83,654.582,1.78238,0.91965,0.94355,0.87426,0.81496,0.87301,0.4253,1.67902,0.84454,0.97952,0.0011882,0.0011882,0.0011882
84,662.563,1.77495,0.89324,0.9352,0.88243,0.81749,0.87784,0.41543,1.71411,0.86136,0.98601,0.0011783,0.0011783,0.0011783
85,670.38,1.75874,0.91964,0.93669,0.8565,0.81876,0.87089,0.41525,1.70143,0.84503,0.98252,0.0011684,0.0011684,0.0011684
86,678.172,1.77612,0.91336,0.94015,0.89948,0.82256,0.88626,0.42059,1.72262,0.85722,0.98226,0.0011585,0.0011585,0.0011585
87,686.097,1.74555,0.89226,0.93674,0.87355,0.82302,0.884,0.4263,1.69512,0.86044,0.9785,0.0011486,0.0011486,0.0011486
88,694.009,1.74793,0.90472,0.9401,0.87221,0.80355,0.87752,0.43037,1.67283,0.84599,0.97754,0.0011387,0.0011387,0.0011387
89,701.986,1.74591,0.89541,0.93784,0.88074,0.81749,0.87597,0.422,1.69157,0.82579,0.9802,0.0011288,0.0011288,0.0011288
90,709.855,1.75434,0.89685,0.93398,0.87253,0.82129,0.88151,0.43065,1.66878,0.81622,0.97282,0.0011189,0.0011189,0.0011189
91,717.826,1.76007,0.90741,0.94132,0.87274,0.81705,0.87776,0.41701,1.67073,0.84218,0.97377,0.001109,0.001109,0.001109
92,725.708,1.74502,0.89452,0.93541,0.88653,0.79594,0.87255,0.41261,1.68617,0.85178,0.97617,0.0010991,0.0010991,0.0010991
