epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.76533,3.48531,11.7125,1.21102,0.00379,0.56274,0.11039,0.02899,3.02007,3.41732,1.07496,0.000658915,0.000658915,0.000658915
2,7.25814,2.99192,4.17319,1.01404,0.4608,0.28897,0.23424,0.06233,3.1793,2.02659,1.09925,0.00131902,0.00131902,0.00131902
3,10.6527,2.92102,3.04053,1.00948,0.43645,0.35741,0.30402,0.09493,2.62843,1.85121,0.99198,0.00197252,0.00197252,0.00197252
4,14.0387,2.88332,2.50691,0.98987,0.45408,0.35741,0.31278,0.09918,2.6735,1.67513,1.00278,0.0019703,0.0019703,0.0019703
5,17.351,2.83778,2.24929,0.982,0.3883,0.36629,0.25852,0.0754,2.75548,1.68745,1.00786,0.0019604,0.0019604,0.0019604
6,20.6967,2.74166,2.06259,0.95922,0.44785,0.36187,0.30233,0.09997,2.59035,1.7356,0.99651,0.0019505,0.0019505,0.0019505
7,23.9841,2.72014,1.94494,0.96718,0.45455,0.39544,0.325,0.10266,2.60183,1.60569,0.98779,0.0019406,0.0019406,0.0019406
8,27.3999,2.69975,1.93551,0.95933,0.50472,0.3991,0.34815,0.1132,2.54442,1.59329,0.98498,0.0019307,0.0019307,0.0019307
9,30.7346,2.68247,1.84474,0.95725,0.54645,0.40177,0.39427,0.12967,2.48223,1.5134,0.97846,0.0019208,0.0019208,0.0019208
10,34.07,2.66764,1.81962,0.95346,0.55793,0.4079,0.3955,0.12413,2.54428,1.68432,0.97806,0.0019109,0.0019109,0.0019109
11,37.2632,2.65594,1.8071,0.95018,0.48816,0.41944,0.38574,0.12291,2.49064,1.55334,0.95963,0.001901,0.001901,0.001901
12,40.3444,2.65501,1.80514,0.94853,0.54094,0.41318,0.38329,0.11637,2.54223,1.59472,0.9848,0.0018911,0.0018911,0.0018911
13,43.5197,2.59742,1.72248,0.94583,0.55665,0.43853,0.41548,0.13246,2.45535,1.51583,0.96269,0.0018812,0.0018812,0.0018812
14,46.7522,2.58802,1.77532,0.93515,0.52059,0.43853,0.41551,0.13301,2.42066,1.5278,0.96223,0.0018713,0.0018713,0.0018713
15,49.982,2.55316,1.66994,0.94226,0.5591,0.43219,0.42465,0.1425,2.39908,1.49121,0.9669,0.0018614,0.0018614,0.0018614
16,53.1134,2.54835,1.68439,0.93281,0.59004,0.42686,0.43387,0.13738,2.46773,1.58318,0.97333,0.0018515,0.0018515,0.0018515
17,56.2042,2.57302,1.71684,0.92807,0.58296,0.45178,0.45015,0.14736,2.36003,1.47815,0.95081,0.0018416,0.0018416,0.0018416
18,59.4685,2.55326,1.69926,0.92986,0.58927,0.42586,0.41193,0.13344,2.45138,1.48473,0.97806,0.0018317,0.0018317,0.0018317
19,62.6344,2.57924,1.72647,0.93217,0.60373,0.40051,0.41757,0.14929,2.35671,1.4441,0.97172,0.0018218,0.0018218,0.0018218
20,65.7679,2.53029,1.64244,0.93974,0.62298,0.43769,0.45027,0.14158,2.44812,1.42749,0.95574,0.0018119,0.0018119,0.0018119
21,68.9522,2.51132,1.68481,0.92726,0.63715,0.41841,0.44586,0.14163,2.44711,1.4956,0.96982,0.001802,0.001802,0.001802
22,72.1192,2.47494,1.62678,0.92251,0.58567,0.42586,0.44225,0.14396,2.39396,1.44679,0.95586,0.0017921,0.0017921,0.0017921
23,75.3077,2.49904,1.66992,0.93057,0.56379,0.47275,0.45559,0.1489,2.39626,1.41105,0.9451,0.0017822,0.0017822,0.0017822
24,78.6649,2.47832,1.64474,0.92613,0.58904,0.44106,0.43248,0.13586,2.47255,1.42614,0.96595,0.0017723,0.0017723,0.0017723
25,81.8585,2.50675,1.63994,0.92817,0.63729,0.45881,0.4726,0.15346,2.36786,1.3885,0.95531,0.0017624,0.0017624,0.0017624
26,85.1237,2.48293,1.61307,0.91921,0.49103,0.46388,0.40181,0.1291,2.41025,1.42581,0.95535,0.0017525,0.0017525,0.0017525
27,88.3816,2.43638,1.62943,0.92027,0.59427,0.49683,0.49418,0.15862,2.32605,1.39172,0.95242,0.0017426,0.0017426,0.0017426
28,91.7242,2.49653,1.62434,0.92707,0.63385,0.4474,0.47969,0.16459,2.36306,1.36783,0.95828,0.0017327,0.0017327,0.0017327
29,95.1465,2.45207,1.60073,0.91875,0.57206,0.43544,0.43309,0.15144,2.34148,1.44811,0.94891,0.0017228,0.0017228,0.0017228
30,98.4115,2.48095,1.58609,0.92125,0.61223,0.46625,0.4628,0.15498,2.33289,1.37999,0.94641,0.0017129,0.0017129,0.0017129
31,101.704,2.4527,1.58027,0.92533,0.53807,0.47402,0.45471,0.15615,2.33745,1.40905,0.94859,0.001703,0.001703,0.001703
32,104.912,2.45537,1.59967,0.92266,0.62195,0.47022,0.48507,0.16934,2.32065,1.37813,0.94851,0.0016931,0.0016931,0.0016931
33,108.408,2.40521,1.55966,0.90666,0.59873,0.48162,0.4882,0.16422,2.35779,1.38757,0.95286,0.0016832,0.0016832,0.0016832
34,111.561,2.42508,1.56626,0.9153,0.58776,0.46134,0.44342,0.15129,2.38119,1.43944,0.9509,0.0016733,0.0016733,0.0016733
35,114.71,2.42528,1.60266,0.91347,0.61867,0.47655,0.48207,0.15779,2.34688,1.40559,0.94459,0.0016634,0.0016634,0.0016634
36,117.901,2.39855,1.57661,0.9073,0.62721,0.48192,0.48745,0.15797,2.34086,1.41005,0.94325,0.0016535,0.0016535,0.0016535
37,121.177,2.41887,1.55657,0.91076,0.60487,0.4967,0.48941,0.16699,2.26943,1.34467,0.94637,0.0016436,0.0016436,0.0016436
38,124.395,2.38265,1.53019,0.91691,0.60567,0.48035,0.47155,0.16182,2.29157,1.39936,0.94558,0.0016337,0.0016337,0.0016337
39,127.496,2.40195,1.56474,0.91835,0.63798,0.45881,0.47582,0.16565,2.2787,1.3687,0.94739,0.0016238,0.0016238,0.0016238
40,130.657,2.41628,1.54415,0.91872,0.62367,0.49571,0.49375,0.17318,2.27915,1.35495,0.94266,0.0016139,0.0016139,0.0016139
41,133.91,2.35991,1.56465,0.90528,0.62547,0.46895,0.48616,0.17221,2.26632,1.35895,0.94008,0.001604,0.001604,0.001604
42,136.906,2.41586,1.57284,0.9155,0.61529,0.46768,0.4565,0.15901,2.3082,1.38117,0.96367,0.0015941,0.0015941,0.0015941
43,140.12,2.37888,1.53974,0.91854,0.6306,0.4398,0.47417,0.16453,2.2892,1.37581,0.94261,0.0015842,0.0015842,0.0015842
44,143.197,2.36625,1.54387,0.90838,0.62228,0.49277,0.5079,0.17307,2.30889,1.37681,0.94982,0.0015743,0.0015743,0.0015743
45,146.571,2.39798,1.51733,0.9095,0.62555,0.48416,0.50085,0.17083,2.2566,1.37111,0.94224,0.0015644,0.0015644,0.0015644
46,149.757,2.36533,1.54049,0.90484,0.60338,0.47046,0.47345,0.16453,2.31044,1.4151,0.94958,0.0015545,0.0015545,0.0015545
47,152.983,2.39268,1.52159,0.91209,0.63486,0.49176,0.51031,0.17711,2.22855,1.33686,0.94128,0.0015446,0.0015446,0.0015446
48,156.344,2.37058,1.52142,0.91288,0.6469,0.47529,0.48748,0.16561,2.32536,1.36622,0.94926,0.0015347,0.0015347,0.0015347
49,159.693,2.37908,1.52053,0.91272,0.7011,0.45783,0.4985,0.17265,2.29195,1.32648,0.94608,0.0015248,0.0015248,0.0015248
50,163.02,2.33844,1.47054,0.9054,0.61853,0.46388,0.46823,0.15931,2.35063,1.40562,0.95148,0.0015149,0.0015149,0.0015149
51,166.284,2.33907,1.48432,0.90763,0.66839,0.43853,0.48071,0.16967,2.23804,1.36896,0.94198,0.001505,0.001505,0.001505
52,169.507,2.37049,1.51071,0.91129,0.64269,0.45501,0.48413,0.1645,2.3199,1.38207,0.95058,0.0014951,0.0014951,0.0014951
53,172.694,2.3345,1.45752,0.90491,0.66513,0.46388,0.50099,0.17226,2.27783,1.34927,0.93551,0.0014852,0.0014852,0.0014852
54,175.839,2.32463,1.47528,0.8986,0.68315,0.46728,0.5054,0.16965,2.26206,1.35653,0.93832,0.0014753,0.0014753,0.0014753
55,179.029,2.32529,1.47841,0.90947,0.68434,0.47148,0.50821,0.18076,2.22837,1.34349,0.93606,0.0014654,0.0014654,0.0014654
56,182.279,2.34496,1.49124,0.91428,0.68482,0.46008,0.5084,0.17717,2.22524,1.3697,0.93762,0.0014555,0.0014555,0.0014555
57,185.497,2.3468,1.49861,0.89556,0.6789,0.46261,0.49118,0.16857,2.23446,1.36902,0.94481,0.0014456,0.0014456,0.0014456
58,188.669,2.37392,1.50569,0.91014,0.60498,0.48334,0.49182,0.17203,2.29321,1.41141,0.94528,0.0014357,0.0014357,0.0014357
59,191.882,2.34115,1.49756,0.89768,0.66724,0.47909,0.50824,0.1729,2.24594,1.37437,0.9329,0.0014258,0.0014258,0.0014258
60,195.076,2.32945,1.45683,0.91018,0.64752,0.5057,0.51674,0.1852,2.22053,1.32394,0.94313,0.0014159,0.0014159,0.0014159
61,198.462,2.305,1.44427,0.90793,0.66564,0.46261,0.51141,0.16815,2.29187,1.35979,0.94074,0.001406,0.001406,0.001406
62,201.612,2.32003,1.48471,0.89873,0.6483,0.48289,0.521,0.17707,2.27514,1.35456,0.93357,0.0013961,0.0013961,0.0013961
63,204.788,2.33952,1.48198,0.8953,0.62881,0.49303,0.50272,0.17588,2.30744,1.34436,0.94219,0.0013862,0.0013862,0.0013862
64,208.055,2.29762,1.45535,0.90289,0.68827,0.46732,0.50607,0.17971,2.22692,1.32534,0.93348,0.0013763,0.0013763,0.0013763
65,211.289,2.30595,1.46267,0.9001,0.61616,0.49683,0.49716,0.17294,2.29584,1.32078,0.95325,0.0013664,0.0013664,0.0013664
66,214.553,2.30917,1.45655,0.91325,0.68055,0.49303,0.524,0.18387,2.21149,1.31368,0.93243,0.0013565,0.0013565,0.0013565
67,217.844,2.32728,1.4884,0.89675,0.64877,0.4893,0.50685,0.17639,2.28146,1.32967,0.94381,0.0013466,0.0013466,0.0013466
68,221.107,2.33905,1.49134,0.89833,0.70482,0.47402,0.52933,0.19097,2.22855,1.31968,0.94013,0.0013367,0.0013367,0.0013367
69,224.518,2.33841,1.48706,0.89576,0.67598,0.47402,0.50587,0.17757,2.2409,1.33827,0.94532,0.0013268,0.0013268,0.0013268
70,227.68,2.28467,1.47626,0.89758,0.6602,0.47148,0.4893,0.17398,2.20697,1.31833,0.9356,0.0013169,0.0013169,0.0013169
71,230.807,2.27632,1.43247,0.89823,0.66034,0.50514,0.52845,0.18713,2.19411,1.33585,0.92745,0.001307,0.001307,0.001307
72,234.039,2.29553,1.42467,0.90719,0.6905,0.48353,0.53316,0.19279,2.21167,1.33092,0.92968,0.0012971,0.0012971,0.0012971
73,237.458,2.26351,1.44047,0.89294,0.68331,0.53054,0.55434,0.19201,2.1762,1.30683,0.92669,0.0012872,0.0012872,0.0012872
74,240.852,2.27577,1.43596,0.89883,0.6944,0.49246,0.54085,0.1912,2.15663,1.33428,0.92346,0.0012773,0.0012773,0.0012773
75,244.195,2.25751,1.42432,0.89162,0.65293,0.52598,0.54701,0.19274,2.20762,1.31561,0.93374,0.0012674,0.0012674,0.0012674
76,247.478,2.25227,1.43774,0.89607,0.67542,0.51458,0.55142,0.18904,2.20126,1.30124,0.92756,0.0012575,0.0012575,0.0012575
77,250.759,2.24368,1.39736,0.89578,0.69499,0.47362,0.52121,0.18091,2.26162,1.30472,0.93769,0.0012476,0.0012476,0.0012476
