epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.94404,3.48593,12.4719,1.23049,0.00469,0.69075,0.09725,0.02366,2.89651,3.33271,1.0072,0.000658915,0.000658915,0.000658915
2,9.81533,2.85487,3.75985,1.00223,0.43672,0.40092,0.31579,0.08938,2.5398,1.70812,0.97548,0.00131902,0.00131902,0.00131902
3,14.482,2.68114,2.68159,0.97989,0.57585,0.44613,0.39315,0.11106,2.47468,1.60525,0.96656,0.00197252,0.00197252,0.00197252
4,18.9934,2.66659,2.19995,0.96562,0.47291,0.37009,0.32491,0.09512,2.59546,1.78037,0.973,0.0019703,0.0019703,0.0019703
5,23.5808,2.61759,1.92315,0.9565,0.57333,0.47346,0.46,0.14115,2.35348,1.47536,0.95096,0.0019604,0.0019604,0.0019604
6,28.2157,2.53207,1.73573,0.94045,0.58512,0.5019,0.49936,0.1732,2.30072,1.65559,0.96925,0.0019505,0.0019505,0.0019505
7,32.9117,2.48693,1.67046,0.94405,0.60076,0.48634,0.4757,0.15384,2.27129,1.36794,0.95985,0.0019406,0.0019406,0.0019406
8,37.3443,2.49003,1.61411,0.94863,0.46844,0.40321,0.3283,0.0894,2.74295,1.5932,1.01767,0.0019307,0.0019307,0.0019307
9,41.8195,2.45457,1.57329,0.93275,0.6324,0.49277,0.51373,0.1681,2.29459,1.26595,0.96114,0.0019208,0.0019208,0.0019208
10,46.1809,2.42473,1.5475,0.92965,0.62936,0.49069,0.51512,0.17172,2.21226,1.34267,0.93858,0.0019109,0.0019109,0.0019109
11,50.6823,2.40362,1.4949,0.92941,0.65774,0.52218,0.53436,0.185,2.24406,1.32845,0.95301,0.001901,0.001901,0.001901
12,55.4433,2.38952,1.4978,0.92584,0.62112,0.56147,0.54044,0.17768,2.22816,1.32909,0.93905,0.0018911,0.0018911,0.0018911
13,59.9222,2.35113,1.46936,0.92417,0.57233,0.53359,0.52671,0.17654,2.25604,1.30433,0.92937,0.0018812,0.0018812,0.0018812
14,64.3869,2.39918,1.49692,0.92085,0.66014,0.53105,0.53582,0.18123,2.19524,1.29165,0.93802,0.0018713,0.0018713,0.0018713
15,68.9765,2.29521,1.39935,0.92004,0.71876,0.59602,0.63656,0.23002,2.10364,1.28213,0.93345,0.0018614,0.0018614,0.0018614
