epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.82563,2.36914,10.7001,1.23531,0.00243,0.59292,0.00679,0.00181,2.08132,6.61418,1.10528,0.0004,0.0004,0.0004
2,5.17092,1.99648,6.37854,1.0956,0.00047,0.11504,0.00026,0.00012,2.063,7.48727,1.11817,0.000815941,0.000815941,0.000815941
3,7.34628,1.91494,4.72971,1.08378,0.00192,0.46903,0.00775,0.00269,1.87174,5.91466,1.03937,0.00122772,0.00122772,0.00122772
4,9.6421,1.7029,5.6648,1.00247,0.00227,0.53982,0.35065,0.12948,1.76898,5.31197,1.06934,0.00163535,0.00163535,0.00163535
5,11.9231,1.86779,4.29936,1.0614,0.44549,0.10666,0.32972,0.13085,1.86242,4.58713,1.1661,0.0019604,0.0019604,0.0019604
6,14.0507,1.91632,3.59059,1.12132,0.47799,0.56637,0.4681,0.18389,1.84407,3.00215,1.04757,0.0019505,0.0019505,0.0019505
7,16.3341,1.8709,3.33023,1.08847,0.57869,0.47788,0.47043,0.22419,1.64159,2.91751,1.0495,0.0019406,0.0019406,0.0019406
8,18.6541,1.82992,2.84149,1.04851,0.65112,0.62832,0.69637,0.34711,1.73692,1.98396,1.06863,0.0019307,0.0019307,0.0019307
9,20.9018,1.77848,2.48015,1.08638,0.65179,0.60177,0.64735,0.321,1.76448,1.94349,1.0431,0.0019208,0.0019208,0.0019208
10,23.007,1.74952,2.21985,1.07871,0.72986,0.64602,0.74319,0.33889,1.74476,1.61168,1.02012,0.0019109,0.0019109,0.0019109
11,25.1151,1.67239,2.03918,1.0393,0.62863,0.67411,0.67774,0.32379,1.71809,1.32161,1.00124,0.001901,0.001901,0.001901
12,27.2397,1.77086,2.01886,1.09149,0.64262,0.63651,0.68058,0.30935,1.74246,1.27298,1.00631,0.0018911,0.0018911,0.0018911
13,29.3625,1.69264,1.80693,1.06178,0.68389,0.75221,0.73823,0.34234,1.70879,1.2414,1.01358,0.0018812,0.0018812,0.0018812
14,31.4775,1.71617,1.65335,1.01148,0.51728,0.59292,0.55394,0.21861,2.00647,1.31973,1.04703,0.0018713,0.0018713,0.0018713
