epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.42873,2.36914,10.7001,1.23531,0.00243,0.59292,0.00679,0.00181,2.08132,6.61418,1.10528,0.0004,0.0004,0.0004
2,4.76803,1.9921,6.32965,1.0929,0.00051,0.12389,0.00029,0.0001,2.07715,7.22905,1.12328,0.000817971,0.000817971,0.000817971
3,7.01033,1.88324,4.90021,1.0825,0.00105,0.25664,0.06229,0.02433,1.78102,5.66179,1.03232,0.00123386,0.00123386,0.00123386
4,9.32682,1.81801,5.69272,1.04691,0.23367,0.0354,0.08392,0.02342,1.92614,5.57207,1.12177,0.00164767,0.00164767,0.00164767
5,11.6453,1.948,4.39437,1.10893,0.21048,0.02655,0.03596,0.01053,2.09861,5.78392,1.17648,0.0019802,0.0019802,0.0019802
6,13.8052,1.93646,3.68028,1.16252,0.37705,0.30088,0.25811,0.10999,1.91306,3.58717,1.10377,0.00197525,0.00197525,0.00197525
7,16.0859,1.82929,3.26422,1.14112,0.50731,0.53097,0.47584,0.22692,1.69529,2.46111,1.10795,0.0019703,0.0019703,0.0019703
8,18.4484,1.8746,2.82197,1.09899,0.5081,0.5576,0.4793,0.18559,1.99207,2.18967,1.14154,0.00196535,0.00196535,0.00196535
9,20.6072,1.83036,2.54849,1.12212,0.56819,0.50073,0.5503,0.24691,1.74981,2.07258,1.03098,0.0019604,0.0019604,0.0019604
10,22.8886,1.7417,2.28131,1.11232,0.64413,0.69027,0.70024,0.29059,1.79247,1.77543,1.0479,0.00195545,0.00195545,0.00195545
11,25.1579,1.75271,2.03203,1.08331,0.6739,0.63717,0.70183,0.35319,1.67297,1.29866,1.05218,0.0019505,0.0019505,0.0019505
12,27.4315,1.71351,2.02089,1.07029,0.67318,0.76559,0.75631,0.33886,1.59466,1.15704,0.98,0.00194555,0.00194555,0.00194555
13,29.5466,1.71654,1.81962,1.08102,0.6554,0.60594,0.66245,0.32728,1.7399,1.21447,1.06931,0.0019406,0.0019406,0.0019406
14,31.6713,1.64632,1.6364,1.03442,0.69805,0.63424,0.72207,0.38514,1.5992,1.13523,0.99252,0.00193565,0.00193565,0.00193565
15,33.9613,1.60898,1.60067,1.00091,0.56755,0.67257,0.59889,0.28537,1.75811,1.20929,1.02125,0.0019307,0.0019307,0.0019307
16,36.0781,1.59423,1.52638,1.02492,0.74912,0.67257,0.75776,0.39472,1.5428,1.13931,1.01146,0.00192575,0.00192575,0.00192575
17,38.3486,1.62306,1.44624,1.02537,0.75637,0.76106,0.79455,0.36893,1.72837,1.08171,1.0232,0.0019208,0.0019208,0.0019208
18,40.4711,1.62449,1.39826,1.01411,0.73098,0.76948,0.82888,0.3763,1.70706,1.03024,1.00377,0.00191585,0.00191585,0.00191585
19,42.5926,1.54921,1.37084,0.99039,0.69859,0.69027,0.74518,0.37709,1.56192,0.99567,0.99391,0.0019109,0.0019109,0.0019109
20,44.7142,1.55213,1.21337,1.01601,0.75935,0.75394,0.85084,0.46153,1.52303,0.93913,0.95823,0.00190595,0.00190595,0.00190595
21,46.9773,1.50799,1.22323,0.98242,0.74518,0.76106,0.80503,0.41165,1.55357,0.94507,0.98253,0.001901,0.001901,0.001901
22,49.0881,1.52691,1.20374,0.983,0.66345,0.80531,0.79902,0.30397,1.81224,1.07693,0.97532,0.00189605,0.00189605,0.00189605
23,51.1968,1.56422,1.17565,0.99929,0.69927,0.77876,0.80542,0.40072,1.58188,0.99273,0.96778,0.0018911,0.0018911,0.0018911
