epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33195,2.94687,13.5377,1.40844,0.00072,0.17699,0.00053,0.00021,2.36731,6.23081,1.05677,0.0004,0.0004,0.0004
2,2.50916,2.35293,5.97258,1.132,0.00091,0.22124,0.00078,0.00024,2.16319,5.95531,1.09092,0.000815941,0.000815941,0.000815941
3,3.64491,2.16499,4.52902,1.14401,0.00232,0.56637,0.00369,0.00124,2.27139,6.59994,1.1119,0.00122772,0.00122772,0.00122772
4,4.67641,2.25449,4.31283,1.15203,0.00293,0.71681,0.04465,0.01411,2.2239,4.9934,1.15347,0.00163535,0.00163535,0.00163535
5,5.74699,2.19932,4.06944,1.07686,0.18716,0.14159,0.16728,0.0546,2.27653,4.79847,1.16503,0.0019604,0.0019604,0.0019604
6,6.78056,2.1825,3.36863,1.13819,0.39349,0.35599,0.33825,0.13105,2.22723,2.70812,1.13504,0.0019505,0.0019505,0.0019505
7,7.90078,2.12921,2.93799,1.10155,0.30983,0.51327,0.22856,0.06565,2.36722,2.31191,1.11129,0.0019406,0.0019406,0.0019406
8,8.9508,2.1617,2.59293,1.06264,0.45478,0.59292,0.46172,0.17351,2.15748,1.82596,1.073,0.0019307,0.0019307,0.0019307
9,10.0991,2.03709,2.36906,1.07878,0.43013,0.58407,0.42473,0.17114,2.07314,1.80308,1.0375,0.0019208,0.0019208,0.0019208
10,11.163,2.06347,2.07372,1.12915,0.65714,0.61061,0.62612,0.25396,1.92998,1.57509,1.01579,0.0019109,0.0019109,0.0019109
11,12.3061,1.85045,2.01415,1.06092,0.63286,0.47788,0.49533,0.21109,2.03206,1.66599,1.03913,0.001901,0.001901,0.001901
12,13.3492,1.88602,1.81393,1.07207,0.63329,0.59604,0.58068,0.2391,1.95705,1.42512,1.0105,0.0018911,0.0018911,0.0018911
13,14.3313,1.89202,1.70717,1.09863,0.59515,0.55752,0.5556,0.23268,1.94885,1.70065,1.0423,0.0018812,0.0018812,0.0018812
14,15.3199,1.85553,1.58451,1.01796,0.69087,0.59292,0.61548,0.2272,1.99995,1.75228,1.01144,0.0018713,0.0018713,0.0018713
15,16.3872,1.75907,1.54732,0.98872,0.61319,0.61947,0.58321,0.24933,1.8573,1.38211,0.99312,0.0018614,0.0018614,0.0018614
16,17.4199,1.76988,1.48979,1.02106,0.63156,0.55752,0.53645,0.22396,1.9354,1.22224,1.02509,0.0018515,0.0018515,0.0018515
17,18.4475,1.81476,1.36412,1.02639,0.66329,0.59271,0.61551,0.28363,1.72218,1.14275,0.96834,0.0018416,0.0018416,0.0018416
18,19.5041,1.65723,1.34196,0.98922,0.72454,0.62849,0.68733,0.28683,1.80211,1.11017,0.96629,0.0018317,0.0018317,0.0018317
19,20.5515,1.69783,1.30332,0.97612,0.63507,0.67763,0.67839,0.28108,1.87797,1.13071,0.99858,0.0018218,0.0018218,0.0018218
20,21.5258,1.73404,1.27106,0.99575,0.6512,0.71045,0.70417,0.31835,1.78389,1.26521,0.95183,0.0018119,0.0018119,0.0018119
21,22.5461,1.74398,1.34336,0.98563,0.59899,0.59292,0.57631,0.25292,1.77664,1.27037,0.97445,0.001802,0.001802,0.001802
22,23.4789,1.74215,1.28057,1.00433,0.67197,0.60177,0.65262,0.29162,1.84522,1.13157,0.96982,0.0017921,0.0017921,0.0017921
23,24.4408,1.65707,1.21256,1.0105,0.63841,0.62499,0.63374,0.29259,1.81817,1.14385,0.97106,0.0017822,0.0017822,0.0017822
24,25.3602,1.7268,1.25326,0.98543,0.65482,0.67257,0.61589,0.29427,1.79327,1.08895,0.96912,0.0017723,0.0017723,0.0017723
25,26.3343,1.6416,1.18767,0.98077,0.63494,0.65487,0.64015,0.31672,1.6589,1.04263,0.94449,0.0017624,0.0017624,0.0017624
26,27.271,1.57543,1.05941,0.95141,0.75203,0.64602,0.69336,0.32497,1.69409,1.01762,0.94091,0.0017525,0.0017525,0.0017525
27,28.3244,1.64447,1.10312,0.91376,0.71951,0.64602,0.67902,0.3197,1.70221,1.08817,0.91802,0.0017426,0.0017426,0.0017426
28,29.391,1.61345,1.15324,0.95257,0.70983,0.65487,0.65972,0.2564,2.08151,1.1545,0.99492,0.0017327,0.0017327,0.0017327
29,30.3527,1.7043,1.24575,0.98291,0.61073,0.61062,0.61523,0.28383,1.75384,1.06732,0.94898,0.0017228,0.0017228,0.0017228
30,31.3605,1.66486,1.16155,0.96071,0.61387,0.60498,0.64473,0.25046,1.80772,1.10772,0.96061,0.0017129,0.0017129,0.0017129
31,32.3089,1.67922,1.26249,0.96063,0.77767,0.65487,0.67656,0.345,1.65173,1.0085,0.95117,0.001703,0.001703,0.001703
32,33.4411,1.53802,1.07758,0.95068,0.67892,0.67257,0.65917,0.31429,1.69413,1.03147,0.92575,0.0016931,0.0016931,0.0016931
33,34.43,1.62657,1.07009,0.93121,0.73283,0.67257,0.68384,0.2981,1.72031,1.01124,0.94415,0.0016832,0.0016832,0.0016832
34,35.3904,1.58179,1.05438,0.9702,0.64333,0.69027,0.68991,0.34091,1.62723,0.98197,0.90185,0.0016733,0.0016733,0.0016733
35,36.3843,1.63735,1.09863,0.90574,0.7862,0.59292,0.70651,0.34038,1.5896,1.00783,0.91003,0.0016634,0.0016634,0.0016634
36,37.4026,1.67526,1.04659,0.95709,0.72866,0.61789,0.70777,0.33716,1.66129,1.02463,0.92694,0.0016535,0.0016535,0.0016535
