epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.59165,2.76131,10.8742,1.29525,0.00134,0.32743,0.00182,0.00061,2.32365,6.12057,1.03803,0.0004,0.0004,0.0004
2,3.05324,2.29448,5.64164,1.08923,0.00138,0.33628,0.00127,0.00043,2.12436,6.18336,1.01214,0.000815941,0.000815941,0.000815941
3,4.34437,2.15758,4.14018,1.09099,0.00181,0.44248,0.01837,0.0052,2.68209,6.66774,1.14432,0.00122772,0.00122772,0.00122772
4,5.76094,2.32781,4.14788,1.10022,0.00257,0.62832,0.00936,0.00296,2.16751,6.3584,1.10811,0.00163535,0.00163535,0.00163535
5,7.03293,2.40689,4.26576,1.08069,0.32983,0.09586,0.17047,0.04957,2.36328,4.57124,1.18681,0.0019604,0.0019604,0.0019604
6,8.49021,2.26042,3.43172,1.13652,0.17404,0.11562,0.06808,0.02356,2.50976,4.08863,1.31372,0.0019505,0.0019505,0.0019505
7,9.80034,2.17353,2.86126,1.06361,0.45095,0.38938,0.39347,0.15647,2.15371,1.86221,1.02834,0.0019406,0.0019406,0.0019406
8,11.2362,2.09248,2.57337,1.01617,0.33661,0.49558,0.33881,0.10416,2.16179,1.8523,1.06428,0.0019307,0.0019307,0.0019307
9,12.4682,1.95826,2.39803,1.03574,0.58067,0.62832,0.57674,0.20847,2.05345,1.63415,1.0174,0.0019208,0.0019208,0.0019208
10,13.8687,1.99371,2.171,1.07755,0.49341,0.47788,0.4159,0.12621,2.34305,1.83076,1.05917,0.0019109,0.0019109,0.0019109
11,15.1183,2.01808,2.0287,1.07411,0.50204,0.57995,0.51381,0.20634,1.87527,1.36299,0.98263,0.001901,0.001901,0.001901
12,16.4021,2.04178,1.85119,1.05369,0.5252,0.65487,0.51544,0.17958,1.98527,1.30891,0.97604,0.0018911,0.0018911,0.0018911
13,17.6891,2.11946,1.8204,1.06831,0.41289,0.61062,0.42812,0.164,1.91223,1.43485,0.97007,0.0018812,0.0018812,0.0018812
14,18.9763,1.80082,1.64429,0.99936,0.48656,0.65487,0.5478,0.20635,1.88437,1.2977,0.95691,0.0018713,0.0018713,0.0018713
15,20.2232,1.88101,1.67423,1.01611,0.48533,0.47569,0.4203,0.154,2.22947,1.20152,1.02875,0.0018614,0.0018614,0.0018614
