epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8868,2.90904,36.5354,1.34948,0.22074,0.36248,0.15163,0.04498,2.75692,1.88151,1.25392,0.000658915,0.000658915,0.000658915
2,26.1635,2.3186,1.69808,1.09554,0.52938,0.46515,0.46091,0.15687,2.46349,2.21051,1.20467,0.0013223,0.0013223,0.0013223
3,39.253,2.22024,1.4751,1.06689,0.00893,0.08619,0.00869,0.00305,2.54596,4.96305,1.21972,0.00198239,0.00198239,0.00198239
4,51.8443,2.26905,1.48335,1.08319,0.55605,0.5488,0.51114,0.16482,2.23132,1.86228,1.07365,0.00198515,0.00198515,0.00198515
5,65.028,2.16835,1.31072,1.0479,0.67846,0.63625,0.67652,0.24285,2.03362,1.64498,1.04951,0.0019802,0.0019802,0.0019802
6,78.0775,2.10677,1.27252,1.03524,0.73613,0.6654,0.72615,0.28752,1.98224,1.16456,1.04603,0.00197525,0.00197525,0.00197525
7,91.1889,2.09681,1.22809,1.02908,0.74455,0.69962,0.7418,0.29608,1.94004,1.10728,1.03928,0.0019703,0.0019703,0.0019703
8,104.384,2.07778,1.21615,1.03248,0.80852,0.69571,0.77447,0.33122,1.89191,1.20627,1.03875,0.00196535,0.00196535,0.00196535
9,117.51,1.99839,1.168,1.01126,0.78446,0.74398,0.7871,0.34153,1.82792,0.99599,1.02622,0.0019604,0.0019604,0.0019604
10,130.732,2.01457,1.13236,1.01202,0.79819,0.75192,0.8177,0.35016,1.81907,1.08723,1.01929,0.00195545,0.00195545,0.00195545
11,143.89,1.96951,1.12738,1.00085,0.83153,0.73511,0.81906,0.35834,1.83527,0.96314,1.02592,0.0019505,0.0019505,0.0019505
12,157.011,1.99207,1.14313,1.00543,0.76267,0.72904,0.79761,0.31902,1.89465,1.07284,1.03215,0.00194555,0.00194555,0.00194555
13,169.616,1.97423,1.12486,0.99505,0.79969,0.71849,0.80112,0.34248,1.859,1.00979,1.01953,0.0019406,0.0019406,0.0019406
14,182.195,2.00638,1.14397,1.00481,0.7762,0.71213,0.76215,0.32256,1.90147,1.0061,1.03559,0.00193565,0.00193565,0.00193565
15,194.893,1.90552,1.08864,0.99543,0.86394,0.75285,0.81855,0.36547,1.7914,0.91697,1.01456,0.0019307,0.0019307,0.0019307
16,208.008,1.9453,1.09895,0.99602,0.75891,0.73764,0.77772,0.34167,1.79499,1.05213,1.01216,0.00192575,0.00192575,0.00192575
17,220.681,1.97339,1.10767,1.00067,0.85979,0.76933,0.84085,0.37814,1.74811,0.98198,1.00243,0.0019208,0.0019208,0.0019208
18,233.752,1.93484,1.08618,0.98815,0.83842,0.76299,0.83971,0.36827,1.79654,0.99279,1.01664,0.00191585,0.00191585,0.00191585
19,246.41,1.94447,1.10837,0.98833,0.78228,0.72624,0.79427,0.32748,1.88904,1.08948,1.02781,0.0019109,0.0019109,0.0019109
20,259.015,1.93504,1.06031,0.99599,0.79446,0.77404,0.81456,0.3689,1.79916,1.00067,1.01784,0.00190595,0.00190595,0.00190595
21,271.615,1.9025,1.05233,0.98462,0.84621,0.74619,0.83859,0.3515,1.88353,0.93265,1.0088,0.001901,0.001901,0.001901
22,284.231,1.88583,1.03661,0.9865,0.82644,0.79214,0.83577,0.3781,1.76079,0.94939,1.01091,0.00189605,0.00189605,0.00189605
23,296.863,1.92226,1.07472,0.99224,0.84355,0.74489,0.82254,0.35837,1.82337,0.97434,1.02365,0.0018911,0.0018911,0.0018911
24,309.642,1.89739,1.0349,0.97981,0.81549,0.73131,0.81207,0.37762,1.78524,0.95458,1.01249,0.00188615,0.00188615,0.00188615
25,322.25,1.85542,0.9846,0.97573,0.86551,0.75665,0.84318,0.40225,1.74205,0.89992,1.00718,0.0018812,0.0018812,0.0018812
26,335.389,1.8785,1.01053,0.9742,0.84878,0.76553,0.85216,0.38586,1.78338,0.91817,1.00628,0.00187625,0.00187625,0.00187625
27,348.108,1.86957,1.00951,0.97627,0.85048,0.79468,0.86673,0.39162,1.76671,0.89536,1.01007,0.0018713,0.0018713,0.0018713
28,360.706,1.89742,1.0321,0.98414,0.85409,0.74929,0.8309,0.39951,1.73062,0.90286,0.99082,0.00186635,0.00186635,0.00186635
29,373.419,1.85207,1.02392,0.97504,0.85904,0.7415,0.83958,0.39255,1.74748,0.93521,1.01325,0.0018614,0.0018614,0.0018614
30,386.055,1.87103,1.0109,0.97924,0.85747,0.76553,0.85126,0.37834,1.77327,0.92833,0.99373,0.00185645,0.00185645,0.00185645
31,398.691,1.86303,1.00197,0.97595,0.86078,0.73384,0.82504,0.37396,1.76678,0.91384,1.00535,0.0018515,0.0018515,0.0018515
32,411.26,1.85131,1.00007,0.97471,0.85412,0.75665,0.84487,0.39044,1.77542,0.92622,1.00656,0.00184655,0.00184655,0.00184655
33,423.866,1.81771,0.97091,0.96067,0.85252,0.76172,0.84713,0.40281,1.7207,0.91641,0.9966,0.0018416,0.0018416,0.0018416
34,437.164,1.8297,0.995,0.97106,0.84901,0.78395,0.86549,0.39399,1.77439,0.86875,1.00368,0.00183665,0.00183665,0.00183665
35,449.8,1.85435,0.9767,0.96864,0.84563,0.782,0.8457,0.36535,1.79269,0.90688,1.00984,0.0018317,0.0018317,0.0018317
36,462.375,1.81436,0.96278,0.95633,0.83927,0.80482,0.85457,0.3929,1.70303,0.89771,0.99672,0.00182675,0.00182675,0.00182675
37,474.986,1.83398,0.97108,0.96423,0.82703,0.78782,0.85194,0.39646,1.7002,0.90742,0.99041,0.0018218,0.0018218,0.0018218
38,487.757,1.81649,0.96395,0.96975,0.8592,0.79087,0.86246,0.39506,1.72396,0.87216,0.99973,0.00181685,0.00181685,0.00181685
39,500.362,1.84066,0.97066,0.97286,0.87351,0.76046,0.83719,0.38567,1.72634,0.87932,1.00091,0.0018119,0.0018119,0.0018119
40,512.942,1.86021,0.96735,0.9819,0.85451,0.80862,0.86914,0.4044,1.7161,0.841,0.9947,0.00180695,0.00180695,0.00180695
41,526.037,1.82816,0.97342,0.9663,0.85514,0.74818,0.82399,0.37683,1.73264,0.85069,1.00131,0.001802,0.001802,0.001802
42,538.668,1.84371,0.96977,0.95891,0.85955,0.75241,0.82817,0.37649,1.76542,0.92085,1.00366,0.00179705,0.00179705,0.00179705
43,551.421,1.81728,0.97764,0.96793,0.85222,0.78327,0.85076,0.3857,1.74595,0.9062,0.99788,0.0017921,0.0017921,0.0017921
44,564.033,1.80794,0.96268,0.96175,0.87381,0.77313,0.86226,0.39039,1.73769,0.87568,0.99478,0.00178715,0.00178715,0.00178715
45,576.623,1.81754,0.95251,0.96126,0.84397,0.77466,0.84785,0.40378,1.7196,0.86158,0.99769,0.0017822,0.0017822,0.0017822
46,589.141,1.81364,0.95221,0.9556,0.82814,0.80616,0.85911,0.41357,1.68718,0.84823,0.99276,0.00177725,0.00177725,0.00177725
47,602.272,1.82347,0.93824,0.96706,0.85036,0.76933,0.83798,0.38891,1.70707,0.88074,0.99461,0.0017723,0.0017723,0.0017723
48,614.904,1.79465,0.94424,0.96147,0.89174,0.77693,0.87318,0.41844,1.69049,0.8421,0.98731,0.00176735,0.00176735,0.00176735
49,628.028,1.77593,0.91055,0.95456,0.89534,0.76679,0.85764,0.40353,1.69701,0.83935,1.00063,0.0017624,0.0017624,0.0017624
50,640.598,1.78054,0.89572,0.96165,0.84626,0.81496,0.85938,0.40276,1.71952,0.87067,0.99286,0.00175745,0.00175745,0.00175745
51,652.965,1.79618,0.92686,0.96061,0.84955,0.76679,0.83794,0.39716,1.71648,0.85984,0.99181,0.0017525,0.0017525,0.0017525
52,665.547,1.79558,0.92049,0.95119,0.86537,0.79023,0.87385,0.41624,1.67202,0.8512,0.98175,0.00174755,0.00174755,0.00174755
53,678.197,1.75773,0.92746,0.94659,0.84875,0.79594,0.86264,0.41203,1.72159,0.84194,0.99506,0.0017426,0.0017426,0.0017426
54,690.761,1.76784,0.92421,0.95245,0.85396,0.79297,0.87912,0.41086,1.71474,0.85267,0.99764,0.00173765,0.00173765,0.00173765
55,703.356,1.76193,0.93102,0.95671,0.85958,0.79134,0.86199,0.39859,1.71833,0.85055,0.99186,0.0017327,0.0017327,0.0017327
56,715.927,1.79466,0.92811,0.96206,0.85765,0.80355,0.85984,0.39724,1.73512,0.84989,0.99623,0.00172775,0.00172775,0.00172775
57,728.503,1.76591,0.90886,0.95228,0.87836,0.81457,0.88133,0.4147,1.72385,0.8193,0.99392,0.0017228,0.0017228,0.0017228
58,741.213,1.81067,0.94847,0.95715,0.87572,0.80101,0.88188,0.4217,1.66056,0.8338,0.98976,0.00171785,0.00171785,0.00171785
59,754.338,1.77582,0.93049,0.9465,0.86836,0.80735,0.86463,0.3892,1.71561,0.86011,0.99903,0.0017129,0.0017129,0.0017129
60,766.914,1.78261,0.92265,0.95542,0.88033,0.78834,0.87412,0.40909,1.69082,0.84886,0.9897,0.00170795,0.00170795,0.00170795
61,779.521,1.74847,0.8957,0.9581,0.86931,0.77693,0.85394,0.40784,1.68037,0.86477,0.98655,0.001703,0.001703,0.001703
62,792.204,1.76944,0.92591,0.95496,0.88757,0.77044,0.86591,0.40951,1.65536,0.81427,0.98748,0.00169805,0.00169805,0.00169805
63,804.841,1.7736,0.91659,0.94089,0.83631,0.80942,0.86591,0.41435,1.67531,0.83634,0.98855,0.0016931,0.0016931,0.0016931
64,817.466,1.72213,0.8768,0.94835,0.87534,0.80608,0.87615,0.4159,1.6813,0.81116,0.98922,0.00168815,0.00168815,0.00168815
65,830.082,1.74239,0.89913,0.94647,0.87198,0.78074,0.86117,0.40444,1.69046,0.82147,0.9918,0.0016832,0.0016832,0.0016832
66,842.692,1.77989,0.91099,0.95854,0.83608,0.80735,0.85908,0.40538,1.71096,0.83641,1.00238,0.00167825,0.00167825,0.00167825
67,855.407,1.75555,0.92195,0.94483,0.86086,0.79981,0.86428,0.39986,1.71106,0.84782,0.99073,0.0016733,0.0016733,0.0016733
68,868.035,1.73419,0.90015,0.94568,0.85913,0.78846,0.8711,0.42049,1.69852,0.85089,0.9956,0.00166835,0.00166835,0.00166835
69,880.678,1.75873,0.9203,0.94531,0.89058,0.7744,0.86417,0.42616,1.66586,0.82227,0.9858,0.0016634,0.0016634,0.0016634
70,893.77,1.74228,0.89369,0.94824,0.8466,0.79741,0.86253,0.42198,1.6729,0.84515,0.98543,0.00165845,0.00165845,0.00165845
71,906.406,1.73737,0.89233,0.95149,0.86239,0.81015,0.8761,0.42618,1.65766,0.81508,0.98888,0.0016535,0.0016535,0.0016535
72,919.65,1.74098,0.87224,0.94853,0.89077,0.80228,0.88001,0.42259,1.69178,0.82502,0.9929,0.00164855,0.00164855,0.00164855
73,932.244,1.7283,0.87865,0.93449,0.86609,0.81242,0.87176,0.4176,1.68604,0.8167,0.98637,0.0016436,0.0016436,0.0016436
74,944.849,1.75438,0.87881,0.94522,0.87002,0.79087,0.87427,0.39686,1.76749,0.83546,0.99219,0.00163865,0.00163865,0.00163865
75,957.402,1.73096,0.86654,0.94091,0.88674,0.80482,0.88523,0.42402,1.67679,0.81602,0.98536,0.0016337,0.0016337,0.0016337
