epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.06593,2.40058,49.3522,1.39416,0.19214,0.30088,0.11235,0.03489,2.42086,26.5668,1.40267,0.0004,0.0004,0.0004
2,8.42582,2.05018,6.61718,1.19789,0.02876,0.0354,0.01518,0.00473,2.79823,27.3681,1.77351,0.000817971,0.000817971,0.000817971
3,12.1149,2.15377,2.66183,1.27646,0.03794,0.00885,0.00155,0.00037,3.84918,17.7954,3.16523,0.00123386,0.00123386,0.00123386
4,15.8712,2.16062,2.28055,1.27792,0,0,0,0,4.61631,inf,43.8734,0.00164767,0.00164767,0.00164767
5,19.4234,2.29468,2.0764,1.28364,0,0,0,0,5.2531,7.60207,5.62,0.0019802,0.0019802,0.0019802
6,22.9761,2.19643,1.70552,1.36316,0,0,0,0,nan,nan,nan,0.00197525,0.00197525,0.00197525
7,26.5218,2.13513,1.59968,1.25501,0,0,0,0,nan,nan,nan,0.0019703,0.0019703,0.0019703
8,30.1704,2.1199,1.49367,1.26181,0.32894,0.29204,0.23617,0.08773,2.65047,2.61418,1.63584,0.00196535,0.00196535,0.00196535
9,34.2596,2.07814,1.55468,1.23065,0.43165,0.34279,0.32459,0.1366,2.28074,1.82274,1.54082,0.0019604,0.0019604,0.0019604
10,38.3557,2.01978,1.48407,1.23823,0.3839,0.21239,0.21363,0.0925,2.5501,2.63831,1.71556,0.00195545,0.00195545,0.00195545
11,41.9538,2.05709,1.36665,1.17935,0.47693,0.56637,0.48098,0.19161,2.02089,1.51735,1.2092,0.0019505,0.0019505,0.0019505
12,46.0366,1.84007,1.3618,1.21423,0.56052,0.47788,0.53331,0.23094,1.87962,1.36668,1.13425,0.00194555,0.00194555,0.00194555
13,50.131,1.78548,1.25004,1.17002,0.53509,0.56637,0.55273,0.24544,1.90032,1.35081,1.17801,0.0019406,0.0019406,0.0019406
14,54.238,1.67421,1.14787,1.07212,0.44592,0.49558,0.44521,0.18998,2.02184,1.46542,1.24754,0.00193565,0.00193565,0.00193565
15,57.8246,1.69089,1.1495,1.06077,0.56844,0.50442,0.60956,0.31381,1.77156,1.11182,1.12874,0.0019307,0.0019307,0.0019307
16,61.927,1.73441,1.18006,1.09402,0.48233,0.46018,0.46235,0.20649,2.16501,1.5136,1.42825,0.00192575,0.00192575,0.00192575
17,65.5185,1.62604,1.1683,1.09889,0.532,0.26549,0.28335,0.13101,2.45248,2.33603,1.80474,0.0019208,0.0019208,0.0019208
18,69.0965,1.6508,1.15445,1.07262,0.65041,0.64602,0.70043,0.33238,1.7307,1.15638,1.08891,0.00191585,0.00191585,0.00191585
19,73.2016,1.65917,1.11024,1.03701,0.66844,0.60662,0.7294,0.36024,1.61098,1.03578,1.04276,0.0019109,0.0019109,0.0019109
20,77.3164,1.60455,1.07534,1.07423,0.61692,0.65487,0.68465,0.32018,1.73299,1.18135,1.04309,0.00190595,0.00190595,0.00190595
21,80.8776,1.55432,1.04587,1.04398,0.76337,0.571,0.71544,0.3527,1.70327,1.17639,1.05298,0.001901,0.001901,0.001901
22,84.4641,1.58167,1.09162,1.06571,0.67897,0.65508,0.76899,0.39643,1.61734,1.0371,1.04163,0.00189605,0.00189605,0.00189605
23,88.5354,1.5414,1.02782,1.04693,0.73047,0.71954,0.77221,0.40955,1.54611,0.98666,1.02224,0.0018911,0.0018911,0.0018911
24,92.6365,1.53336,0.98304,1.05912,0.62864,0.67415,0.69871,0.36779,1.65056,1.14339,1.14142,0.00188615,0.00188615,0.00188615
25,96.2243,1.60608,1.02013,1.05637,0.76988,0.58407,0.67025,0.34865,1.73463,1.07043,1.13754,0.0018812,0.0018812,0.0018812
26,99.8231,1.51242,0.97483,1.03921,0.76821,0.73324,0.81678,0.45232,1.45886,0.96062,1.06108,0.00187625,0.00187625,0.00187625
27,103.93,1.3956,0.98804,0.98778,0.7994,0.73451,0.83697,0.43768,1.52611,0.94349,1.01353,0.0018713,0.0018713,0.0018713
28,107.533,1.48379,0.97844,1.00937,0.78438,0.78761,0.87071,0.47998,1.49881,0.88855,1.03189,0.00186635,0.00186635,0.00186635
29,111.636,1.47874,0.94732,1.01892,0.64629,0.58407,0.68146,0.35525,1.6645,1.1917,1.06704,0.0018614,0.0018614,0.0018614
30,115.225,1.51893,0.93791,1.01777,0.63263,0.65487,0.66094,0.31425,1.69177,1.10472,1.04586,0.00185645,0.00185645,0.00185645
31,118.797,1.54883,1.00063,0.98604,0.68144,0.76106,0.80753,0.43299,1.48411,0.94961,0.98527,0.0018515,0.0018515,0.0018515
32,122.4,1.48645,0.9292,0.99818,0.83876,0.77876,0.88609,0.48172,1.39657,0.89644,0.97112,0.00184655,0.00184655,0.00184655
33,126.499,1.4764,0.95286,0.98794,0.76667,0.78761,0.85616,0.45029,1.48202,0.90654,0.98221,0.0018416,0.0018416,0.0018416
34,130.079,1.51996,0.94933,0.98846,0.67302,0.79646,0.80633,0.394,1.66236,0.99009,0.97556,0.00183665,0.00183665,0.00183665
35,133.655,1.48256,0.94348,1.00662,0.54231,0.44248,0.47212,0.22691,1.715,1.44325,1.12999,0.0018317,0.0018317,0.0018317
36,137.249,1.42542,0.94912,0.99473,0.87612,0.60177,0.80785,0.43558,1.53114,0.94251,1.00954,0.00182675,0.00182675,0.00182675
37,140.86,1.46621,0.94813,1.01348,0.83426,0.66821,0.79734,0.4328,1.53912,0.92899,0.9965,0.0018218,0.0018218,0.0018218
38,144.449,1.44651,0.91137,0.9914,0.74957,0.76818,0.82711,0.48826,1.34152,0.86181,0.97142,0.00181685,0.00181685,0.00181685
39,148.025,1.41985,0.92085,0.9925,0.78075,0.84956,0.87123,0.49069,1.41015,0.85028,0.94774,0.0018119,0.0018119,0.0018119
40,152.139,1.47336,0.97705,1.01028,0.83325,0.80531,0.89399,0.49413,1.3338,0.86587,0.93273,0.00180695,0.00180695,0.00180695
41,156.247,1.44959,0.93242,1.00154,0.83141,0.74336,0.8778,0.51826,1.39774,0.82522,0.9439,0.001802,0.001802,0.001802
42,160.354,1.36938,0.89888,0.97524,0.80955,0.82301,0.88847,0.52218,1.28098,0.80634,0.92125,0.00179705,0.00179705,0.00179705
43,164.456,1.43224,0.95439,0.98147,0.76578,0.72566,0.79391,0.40857,1.58376,0.99048,1.01409,0.0017921,0.0017921,0.0017921
44,168.068,1.47994,0.92163,0.97806,0.83085,0.69912,0.82425,0.43892,1.50127,0.88621,0.9746,0.00178715,0.00178715,0.00178715
45,171.646,1.45896,0.88994,0.95184,0.79983,0.77794,0.87541,0.54346,1.32462,0.8323,0.94914,0.0017822,0.0017822,0.0017822
46,175.749,1.45885,0.90643,0.96983,0.64909,0.75298,0.75824,0.38418,1.57931,1.00541,1.00373,0.00177725,0.00177725,0.00177725
47,179.335,1.39051,0.88009,0.92833,0.8213,0.77282,0.82877,0.44504,1.38929,0.85821,0.93941,0.0017723,0.0017723,0.0017723
48,182.942,1.39129,0.88616,0.94141,0.74927,0.76693,0.84452,0.50143,1.25067,0.84919,0.94311,0.00176735,0.00176735,0.00176735
49,186.526,1.31671,0.8755,0.91231,0.84764,0.72566,0.85592,0.52612,1.26919,0.81332,0.94216,0.0017624,0.0017624,0.0017624
50,190.108,1.3862,0.92289,0.98386,0.78913,0.79482,0.84805,0.46186,1.37179,0.8378,0.95482,0.00175745,0.00175745,0.00175745
51,193.681,1.43512,0.87006,0.98556,0.73401,0.54867,0.60156,0.34784,1.74632,1.50252,1.11884,0.0017525,0.0017525,0.0017525
52,197.279,1.46051,0.93041,0.99585,0.71392,0.75088,0.79093,0.41858,1.52272,0.96877,0.99709,0.00174755,0.00174755,0.00174755
53,200.875,1.30542,0.88763,0.95363,0.8339,0.78761,0.87275,0.52293,1.33808,0.82517,0.95043,0.0017426,0.0017426,0.0017426
54,204.464,1.30082,0.82194,0.95958,0.76474,0.7767,0.82027,0.45287,1.45009,0.87973,1.00453,0.00173765,0.00173765,0.00173765
55,208.05,1.3222,0.85474,0.98288,0.75254,0.73451,0.78808,0.47018,1.48154,0.97618,0.97864,0.0017327,0.0017327,0.0017327
